num_fins,mass,diameter,length
10000,1.478,0.03,100
10000,1.641,0.03,90
10000,1.846,0.03,80
10000,2.108,0.04,70
10000,2.459,0.04,60
10000,2.95,0.05,50
10000,3.686,0.07,40
10000,4.916,0.09,30
10000,7.384,0.13,20
10000,14.908,0.26,10
10000,16.616,0.29,0.9
10000,18.775,0.33,0.8
5000,2.956,0.05,100
5000,3.283,0.06,90
5000,3.692,0.07,80
5000,4.218,0.08,70
5000,4.919,0.09,60
5000,5.902,0.11,50
5000,7.379,0.13,40
5000,9.846,0.18,30
5000,14.816,0.26,20
5000,30.223,0.53,10
5000,33.797,0.59,9
5000,38.369,0.67,8
5000,44.447,0.77,7
5000,52.976,0.91,6
5000,65.978,1.11,5
5000,88.871,1.45,4
5000,144.996,2.13,4
1000,14.796,0.26,100
1000,16.437,0.29,90
1000,18.49,0.33,80
1000,21.135,0.38,70
1000,24.669,0.44,60
1000,29.637,0.53,50
1000,37.139,0.66,40
1000,49.817,0.88,30
1000,76.119,1.34,20
1000,170.383,2.83,10
1000,197.014,3.21,9
1000,235.453,3.72,8
500,29.631,0.53,100
500,32.927,0.59,90
500,37.057,0.66,80
500,42.384,0.75,70
500,49.521,0.88,60
500,59.591,1.06,50
500,74.903,1.33,40
500,101.154,1.78,30
500,157.75,2.72,20
500,412.894,6.23,10
500,515.986,7.34,9
500,727.749,9.25,8
